created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Tue Oct 24 23:38:51 +0000 2023,1716962487063752957,@Tita83079013 @gibran_tweet Jd memang diplot gibran jd kepala negara ya....ang dirancang gotu... Emang direncanakan brp lama nih prabowo jd presidennya? 1 atau 2 th ya....,0,0,0,0,in,752364757,1716405040179712408,dagajoe,https://twitter.com/dagajoe/status/1716962487063752957
Tue Oct 24 23:38:35 +0000 2023,1716962421154148431,Ini Rekayasa Lalin Sekitar GBK dan KPU Saat Prabowo-Gibran ... - detikNews https://t.co/XhxmpEvFyY #Jokowinomics #MenataMasaDepan #BersamaPrabowo,0,0,5,0,in,4756014072,1716962421154148431,cuteysi,https://twitter.com/cuteysi/status/1716962421154148431
Tue Oct 24 23:38:34 +0000 2023,1716962415236276246,@Gojokaisen86 @SudaryonoSudar @prabowo @gibran_tweet Untuk Indonesia yang lebih baik saya percaya pak prabowo dan mas gibran adalah dua sosok hebat yang punya kemampuan agar membawa Indonesia lebih maju dan masyarakat nya bisa lebih sejahtera,0,0,0,0,in,4153801512,1716756427576848784,mirashahabudin,https://twitter.com/mirashahabudin/status/1716962415236276246
Tue Oct 24 23:38:07 +0000 2023,1716962304296910906,Rekayasa Lalin saat Prabowo-Gibran Daftar ke KPU Hari Ini https://t.co/73NC2qCctP,0,1,2,6,in,17128975,1716962304296910906,CNNIndonesia,https://twitter.com/CNNIndonesia/status/1716962304296910906
Tue Oct 24 23:37:59 +0000 2023,1716962268569886918,"Ray Rangkuti Bongkar Penyebab Alotnya Deklarasi Prabowo-Gibran, Meski MK Telah Buka Pintu https://t.co/yguuZnBdpi",0,0,0,0,in,1219947729155047424,1716962268569886918,zonajakarta1,https://twitter.com/zonajakarta1/status/1716962268569886918
Tue Oct 24 23:37:32 +0000 2023,1716962158540361903,"Bakal pasangan capres-cawapres, Prabowo-Gibran akan diperkenalkan   di Stadion Indonesia Arena, GBK, Jakarta. #Polhuk #AdadiKompas   https://t.co/MUdPzafadG",0,0,0,1,in,255866913,1716962158540361903,hariankompas,https://twitter.com/hariankompas/status/1716962158540361903
Tue Oct 24 23:37:02 +0000 2023,1716962032245989830,@Gojokaisen86 @negativisme Indonesia butuh agen of change dimasa depan dan juga pemimpin yang tegas dan kharismatik seperti pak prabowo dan mas gibran,0,0,0,0,in,4153801512,1716638527952486735,mirashahabudin,https://twitter.com/mirashahabudin/status/1716962032245989830
Tue Oct 24 23:36:37 +0000 2023,1716961928298615093,@AgusYudhoyono @prabowo @gibran_tweet Gak kebayang pak sby turun gunung promosi gibran..he..he...,0,0,0,0,in,1273292151443472384,1716305800397000801,Sakdullah15,https://twitter.com/Sakdullah15/status/1716961928298615093
Tue Oct 24 23:36:34 +0000 2023,1716961914566361524,"Fix milih Prabowo-Gibran, klw ga ya golput",0,0,0,0,in,1059850343725576192,1716961914566361524,Jeonnielle,https://twitter.com/Jeonnielle/status/1716961914566361524
Tue Oct 24 23:36:18 +0000 2023,1716961844777353706,"@VIVAcoid Masyarakat udhh ga bodoh lg ko... Memilih prabowo gibran sm aja milih jokowi, mending milih Ganjar..biar jd lebih baik, ga milih orang2 mecla mencle",0,0,0,0,in,1186526443569741824,1716753423079706799,ariyfebri1,https://twitter.com/ariyfebri1/status/1716961844777353706
